"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","url","view_history","stimulus","key_press","animation_sequence","response","TD_rt","TD_target","test_part","TD_trial_number","onset","offset","attention_state","TD_target_position","TD_within_triplet_counter","participant","yoke_participant","responses","init_locations","moves","final_locations","question_order"
"true","fullscreen","0","8105","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","external-html","1","15482","0.0-1.0","7098.699999988079","https://ziweizhang0304.github.io/Stats_learning_trig/content/consent.html","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","27283","0.0-2.0","11790.90000000596","","[{""page_index"":0,""viewing_time"":3063.5999999940395},{""page_index"":1,""viewing_time"":3559},{""page_index"":2,""viewing_time"":3656.600000023842},{""page_index"":3,""viewing_time"":1509.0999999940395}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","3","32682","0.0-3.0-0.0-0.0","5394.0999999940395","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","4","37107","0.0-3.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":364.5},{""stimulus"":""blank"",""time"":665.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":684.4000000059605},{""stimulus"":""blank"",""time"":985.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1023.7999999821186},{""stimulus"":""blank"",""time"":1324.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1363.5},{""stimulus"":""blank"",""time"":1664.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1704},{""stimulus"":""blank"",""time"":2004.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":2044.2999999821186},{""stimulus"":""blank"",""time"":2344.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2384.0999999940395},{""stimulus"":""blank"",""time"":2685.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2724.4000000059605},{""stimulus"":""blank"",""time"":3025},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":3063.4000000059605},{""stimulus"":""blank"",""time"":3364},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":3403.699999988079},{""stimulus"":""blank"",""time"":3704.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":3743.7999999821186},{""stimulus"":""blank"",""time"":4044.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":4084.0999999940395},{""stimulus"":""blank"",""time"":4385.199999988079}]","[{""key_press"":32,""rt"":2912,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png""}]","527.9000000059605","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","5","40324","0.0-3.0-0.0-2.0","3201.5999999940395","","","<p>Your reaction time for this trial was 527.9 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","6","43940","0.0-3.0-1.0-0.0","3613.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","7","48363","0.0-3.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":342.30000001192093},{""stimulus"":""blank"",""time"":643.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":682.6000000238419},{""stimulus"":""blank"",""time"":984.8000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1021.7000000178814},{""stimulus"":""blank"",""time"":1323},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1361.300000011921},{""stimulus"":""blank"",""time"":1662.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1702.2000000178814},{""stimulus"":""blank"",""time"":2003.1000000238419},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2042.2000000178814},{""stimulus"":""blank"",""time"":2342.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2381.4000000059605},{""stimulus"":""blank"",""time"":2682.600000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2722.800000011921},{""stimulus"":""blank"",""time"":3024},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3062.600000023842},{""stimulus"":""blank"",""time"":3363.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3401.9000000059605},{""stimulus"":""blank"",""time"":3703.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3742.7000000178814},{""stimulus"":""blank"",""time"":4043.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4083.2000000178814},{""stimulus"":""blank"",""time"":4384.100000023842}]","[{""key_press"":32,""rt"":1757.800000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png""},{""key_press"":32,""rt"":2754.0999999940395,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png""}]","372.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","8","49474","0.0-3.0-1.0-2.0","1101.5999999940395","","","<p>Your reaction time for this trial was 372.7 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","9","51798","0.0-3.0-2.0-0.0","2321.5","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","10","56220","0.0-3.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":343},{""stimulus"":""blank"",""time"":644.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":681.6999999880791},{""stimulus"":""blank"",""time"":982.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1022.2999999821186},{""stimulus"":""blank"",""time"":1324.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1363},{""stimulus"":""blank"",""time"":1664.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1701.7999999821186},{""stimulus"":""blank"",""time"":2003.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2041.5999999940395},{""stimulus"":""blank"",""time"":2342.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2382.199999988079},{""stimulus"":""blank"",""time"":2682.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2722.7999999821186},{""stimulus"":""blank"",""time"":3024.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3062.0999999940395},{""stimulus"":""blank"",""time"":3363.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3401.9000000059605},{""stimulus"":""blank"",""time"":3702.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3741.699999988079},{""stimulus"":""blank"",""time"":4042.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4081.699999988079},{""stimulus"":""blank"",""time"":4383.5999999940395}]","[{""key_press"":32,""rt"":2493.199999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","451.59999999403954","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","post_prac","","","","","","","","","","","","",""
"","html-keyboard-response","11","57128","0.0-3.0-2.0-2.0","897.8000000119209","","","<p>Your reaction time for this trial was 451.6 ms.</p><p>Remember that you should only press the SPACEBAR when you see the shape presented at the beginning of the trial. </b> </p><p>Press enter to move on.</p>","13","","","","","","","","","","","","","","","","","",""
"","instructions","12","58960","0.0-4.0","1831.5999999940395","","[{""page_index"":0,""viewing_time"":1830.4000000059605}]","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","13","60110","0.0-5.0-0.0-0.0","1146.7000000178814","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","14","64534","0.0-5.0-0.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":342.69999998807907},{""stimulus"":""blank"",""time"":643.6999999880791},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":682.0999999940395},{""stimulus"":""blank"",""time"":983.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":1021.6999999880791},{""stimulus"":""blank"",""time"":1322.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1362.199999988079},{""stimulus"":""blank"",""time"":1663.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1702.2999999821186},{""stimulus"":""blank"",""time"":2003.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":2041.5},{""stimulus"":""blank"",""time"":2342.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":2382.0999999940395},{""stimulus"":""blank"",""time"":2683.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2723.9000000059605},{""stimulus"":""blank"",""time"":3024.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":3061.7999999821186},{""stimulus"":""blank"",""time"":3362.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3402.5999999940395},{""stimulus"":""blank"",""time"":3704},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3742.699999988079},{""stimulus"":""blank"",""time"":4044},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4081.7999999821186},{""stimulus"":""blank"",""time"":4382.5}]","[{""key_press"":32,""rt"":898.6999999880791,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png""},{""key_press"":32,""rt"":2350,""stimulus"":""blank""},{""key_press"":32,""rt"":3641.2999999821186,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png""}]","579.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_TD","1","3061.7999999821186","3641.2999999821186","slow","9","3","5eb5f6d5e38e9f4e6c8dde3f","","","","","",""
"","image-keyboard-response","15","66055","0.0-5.0-1.0-0.0","1511.0999999940395","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","16","70477","0.0-5.0-1.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":342.2999999821186},{""stimulus"":""blank"",""time"":642.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":682.5999999940395},{""stimulus"":""blank"",""time"":983.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1022.0999999940395},{""stimulus"":""blank"",""time"":1323.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1362.699999988079},{""stimulus"":""blank"",""time"":1663.699999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1702.5999999940395},{""stimulus"":""blank"",""time"":2003.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2043},{""stimulus"":""blank"",""time"":2344.199999988079},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2382.4000000059605},{""stimulus"":""blank"",""time"":2683.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2723.4000000059605},{""stimulus"":""blank"",""time"":3023.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3062.5999999940395},{""stimulus"":""blank"",""time"":3365.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3401.699999988079},{""stimulus"":""blank"",""time"":3702.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3751.0999999940395},{""stimulus"":""blank"",""time"":4052.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082},{""stimulus"":""blank"",""time"":4382.799999982119}]","[{""key_press"":32,""rt"":2976,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png""}]","NaN","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_TD","2","3062.5999999940395","","fast","9","3","5eb5f6d5e38e9f4e6c8dde3f","","","","","",""
"","image-keyboard-response","17","71768","0.0-5.0-2.0-0.0","1284","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","18","76191","0.0-5.0-2.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":342.69999998807907},{""stimulus"":""blank"",""time"":644.6999999880791},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":681.0999999940395},{""stimulus"":""blank"",""time"":983.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1022.1999999880791},{""stimulus"":""blank"",""time"":1323.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1363.699999988079},{""stimulus"":""blank"",""time"":1664.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_010_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2003.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_025_g.png"",""time"":2042.199999988079},{""stimulus"":""blank"",""time"":2343.7999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png"",""time"":2382},{""stimulus"":""blank"",""time"":2683.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":2722.199999988079},{""stimulus"":""blank"",""time"":3023.899999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":3062.7999999821186},{""stimulus"":""blank"",""time"":3364},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3402.699999988079},{""stimulus"":""blank"",""time"":3703.399999976158},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3742.399999976158},{""stimulus"":""blank"",""time"":4043.2999999821186},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082.5},{""stimulus"":""blank"",""time"":4384.5999999940395}]","[{""key_press"":32,""rt"":2827.5,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png""}]","445.5","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_021_g.png","post_TD","3","2382","2827.5","slow","7","3","5eb5f6d5e38e9f4e6c8dde3f","","","","","",""
"","image-keyboard-response","19","76892","0.0-5.0-3.0-0.0","698.1999999880791","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","20","81314","0.0-5.0-3.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":345},{""stimulus"":""blank"",""time"":646},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":682.2000000178814},{""stimulus"":""blank"",""time"":983},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":1022.3000000119209},{""stimulus"":""blank"",""time"":1323.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":1362.300000011921},{""stimulus"":""blank"",""time"":1663.5999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":1702.5},{""stimulus"":""blank"",""time"":2003.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2041.7000000178814},{""stimulus"":""blank"",""time"":2342.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":2381.7000000178814},{""stimulus"":""blank"",""time"":2683.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2722.300000011921},{""stimulus"":""blank"",""time"":3023.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":3062.2000000178814},{""stimulus"":""blank"",""time"":3363.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3402.4000000059605},{""stimulus"":""blank"",""time"":3703.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3742.300000011921},{""stimulus"":""blank"",""time"":4043},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082.2000000178814},{""stimulus"":""blank"",""time"":4383.4000000059605}]","[{""key_press"":32,""rt"":3087.0999999940395,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","364.7999999821186","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","post_TD","4","2722.300000011921","3087.0999999940395","fast","8","2","5eb5f6d5e38e9f4e6c8dde3f","","","","","",""
"","image-keyboard-response","21","81765","0.0-5.0-4.0-0.0","443.59999999403954","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","22","86189","0.0-5.0-4.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":343.10000002384186},{""stimulus"":""blank"",""time"":643.8000000119209},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":682.8000000119209},{""stimulus"":""blank"",""time"":983.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":1022.1000000238419},{""stimulus"":""blank"",""time"":1322.800000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":1363.2000000178814},{""stimulus"":""blank"",""time"":1663.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1709.7000000178814},{""stimulus"":""blank"",""time"":2010.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":2042.6000000238419},{""stimulus"":""blank"",""time"":2343.7000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2382.100000023842},{""stimulus"":""blank"",""time"":2683.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2721.9000000059605},{""stimulus"":""blank"",""time"":3023.100000023842},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":3063},{""stimulus"":""blank"",""time"":3364.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":3401.9000000059605},{""stimulus"":""blank"",""time"":3703.2000000178814},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3741.7000000178814},{""stimulus"":""blank"",""time"":4043.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4081.4000000059605},{""stimulus"":""blank"",""time"":4382.4000000059605}]","[{""key_press"":32,""rt"":2171.800000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png""},{""key_press"":32,""rt"":2857.800000011921,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png""}]","475.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png","post_TD","5","2382.100000023842","2857.800000011921","fast","7","3","5eb5f6d5e38e9f4e6c8dde3f","","","","","",""
"","image-keyboard-response","23","87142","0.0-5.0-5.0-0.0","943.5999999940395","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
"","animation","24","91564","0.0-5.0-5.0-1.0","","","","","","[{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_026_g.png"",""time"":342.19999998807907},{""stimulus"":""blank"",""time"":643.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_005_g.png"",""time"":683},{""stimulus"":""blank"",""time"":983.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_006_g.png"",""time"":1022.0999999940395},{""stimulus"":""blank"",""time"":1323.4000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_016_g.png"",""time"":1362},{""stimulus"":""blank"",""time"":1662.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png"",""time"":1702},{""stimulus"":""blank"",""time"":2003},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png"",""time"":2042.5},{""stimulus"":""blank"",""time"":2344},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_007_g.png"",""time"":2382.4000000059605},{""stimulus"":""blank"",""time"":2683.5},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_024_g.png"",""time"":2721.9000000059605},{""stimulus"":""blank"",""time"":3022.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_004_g.png"",""time"":3062},{""stimulus"":""blank"",""time"":3362.9000000059605},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_012_g.png"",""time"":3402.5},{""stimulus"":""blank"",""time"":3704.0999999940395},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_022_g.png"",""time"":3742.300000011921},{""stimulus"":""blank"",""time"":4043.300000011921},{""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_001_g.png"",""time"":4082.4000000059605},{""stimulus"":""blank"",""time"":4383.199999988079}]","[{""key_press"":32,""rt"":2158.699999988079,""stimulus"":""https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_008_g.png""}]","456.69999998807907","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","post_TD","6","1702","2158.699999988079","fast","5","2","5eb5f6d5e38e9f4e6c8dde3f","","","","","",""
"","image-keyboard-response","25","92575","0.0-5.0-6.0-0.0","1000.0999999940395","","","https://ziweizhang0304.github.io/Stats_learning_trig/img/Stim/FN_023_g.png","13","","","","","","","","","","","","","","","","","",""
